h3,base,pdmg,cems,lisa,product
8867412ea5fffff,119,0,0.0,ns,OSU
8867412ea7fffff,947,0,0.0,ns,OSU
8867412ea9fffff,354,0,0.0,ns,OSU
8867412eabfffff,218,3,0.0,ns,OSU
8867412eadfffff,217,5,0.0,ns,OSU
8867412eb1fffff,2,0,0.0,ns,OSU
8867412eb5fffff,179,10,0.0,ns,OSU
8867412eb7fffff,2,0,0.0,ns,OSU
8867412eb9fffff,2,0,0.0,ns,OSU
8867412ebdfffff,186,34,0.0,ns,OSU
8867412ec1fffff,1005,12,0.0,ns,OSU
8867412ec3fffff,149,0,0.0,ns,OSU
8867412ec5fffff,1104,0,0.0,ns,OSU
8867412ec7fffff,382,5,0.0,ns,OSU
8867412ec9fffff,2190,1,0.0,ns,OSU
8867412ecbfffff,189,0,0.0,ns,OSU
8867412ecdfffff,2832,80,0.0,ns,OSU
8867412ed1fffff,560,5,0.0,ns,OSU
8867412ed3fffff,721,0,0.0,ns,OSU
8867412ed5fffff,22,0,0.0,ns,OSU
8867412ed7fffff,506,0,0.0,ns,OSU
8867412ed9fffff,555,0,0.0,ns,OSU
8867412edbfffff,774,0,0.0,ns,OSU
8867412eddfffff,30,0,0.0,ns,OSU
8867412ee1fffff,472,0,0.0,ns,OSU
8867412ee3fffff,568,0,0.0,ns,OSU
8867412ee5fffff,131,0,0.0,ns,OSU
8867412ee7fffff,1052,0,0.0,ns,OSU
8867412ee9fffff,985,7,0.0,ns,OSU
8867412eebfffff,1218,0,0.0,ns,OSU
8867413413fffff,2,0,0.0,ns,OSU
8867413417fffff,2,0,0.0,ns,OSU
8867413421fffff,54,36,10.0,ns,OSU
8867413423fffff,313,199,60.0,ns,OSU
8867413425fffff,79,55,9.0,ns,OSU
8867413427fffff,948,790,101.0,ns,OSU
8867413431fffff,641,347,34.0,ns,OSU
8867413433fffff,53,2,0.0,ns,OSU
8867413435fffff,455,259,57.0,ns,OSU
8867413439fffff,24,20,4.0,ns,OSU
886741343bfffff,165,56,3.0,ns,OSU
886741343dfffff,67,42,10.0,ns,OSU
88674134c9fffff,12,0,0.0,ns,OSU
88674134cbfffff,11,0,0.0,ns,OSU
88674134edfffff,1,0,0.0,ns,OSU
8867413511fffff,206,197,25.0,HH,OSU
8867413513fffff,601,325,4.0,HH,OSU
8867413515fffff,32,20,0.0,HH,OSU
8867413517fffff,122,96,4.0,HH,OSU
8867413519fffff,2,2,0.0,ns,OSU
886741351bfffff,904,775,90.0,LH,OSU
8867413531fffff,735,671,17.0,HH,OSU
8867413535fffff,956,704,19.0,HH,OSU
8867413537fffff,244,141,0.0,HH,OSU
886741353bfffff,220,117,3.0,HH,OSU
886741353dfffff,20,20,7.0,HH,OSU
88674135c1fffff,64,0,0.0,ns,OSU
88674135c3fffff,8,0,0.0,ns,OSU
88674135c5fffff,187,37,0.0,HH,OSU
88674135c7fffff,182,41,0.0,ns,OSU
88674135c9fffff,1229,532,22.0,ns,OSU
88674135cbfffff,129,0,0.0,ns,OSU
88674135cdfffff,944,514,8.0,ns,OSU
88674135e9fffff,77,13,0.0,HH,OSU
88674135edfffff,5,0,0.0,LH,OSU
8867413691fffff,17,0,0.0,ns,OSU
8867413693fffff,7,0,0.0,ns,OSU
8867413699fffff,14,12,0.0,HH,OSU
886741369bfffff,212,11,0.0,HH,OSU
88674136b1fffff,20,0,0.0,ns,OSU
88674136b5fffff,43,0,0.0,ns,OSU
88674136b9fffff,157,0,0.0,ns,OSU
88674136bbfffff,71,35,0.0,ns,OSU
88674136bdfffff,8,0,0.0,ns,OSU
8867413891fffff,113,88,34.0,HL,OSU
8867413893fffff,903,803,140.0,ns,OSU
8867413895fffff,1,0,0.0,ns,OSU
8867413897fffff,1234,1087,163.0,ns,OSU
886741389bfffff,300,154,44.0,ns,OSU
88674138b3fffff,733,653,22.0,HH,OSU
88674138b7fffff,18,9,0.0,HH,OSU
88674138bbfffff,280,268,38.0,ns,OSU
88674301a3fffff,187,40,0.0,HH,OSU
88674301a5fffff,438,42,0.0,ns,OSU
88674301abfffff,2,0,0.0,LH,OSU
88674301b1fffff,20,5,0.0,HH,OSU
88674301b5fffff,234,94,0.0,HH,OSU
88674301b7fffff,62,25,0.0,ns,OSU
88674301bdfffff,183,83,0.0,HH,OSU
8867430a91fffff,233,0,0.0,ns,OSU
8867430a93fffff,399,38,0.0,ns,OSU
8867430a97fffff,7,0,0.0,ns,OSU
8867430a99fffff,580,53,0.0,ns,OSU
8867430a9bfffff,773,26,0.0,ns,OSU
8867430ad3fffff,213,66,0.0,ns,OSU
8867430f41fffff,262,33,0.0,ns,OSU
8867430f43fffff,95,1,0.0,ns,OSU
8867430f45fffff,34,11,0.0,ns,OSU
8867430f47fffff,4,0,0.0,ns,OSU
8867430f49fffff,108,24,0.0,HH,OSU
8867430f4bfffff,143,0,0.0,LH,OSU
8867430f4dfffff,53,8,0.0,ns,OSU
8867430f5dfffff,5,0,0.0,ns,OSU
8867430f61fffff,4,0,0.0,ns,OSU
8867430f63fffff,1,0,0.0,ns,OSU
8867430f69fffff,13,0,0.0,ns,OSU
8867430f6bfffff,22,0,0.0,ns,OSU
8867434123fffff,1,0,0.0,ns,OSU
8867434195fffff,416,0,0.0,ns,OSU
88674341a9fffff,7,0,0.0,ns,OSU
88674341b1fffff,2,0,0.0,ns,OSU
88674341b5fffff,5,0,0.0,ns,OSU
88674341b7fffff,2,0,0.0,ns,OSU
88674341b9fffff,1,0,0.0,ns,OSU
88674341bbfffff,8,0,0.0,ns,OSU
88674341e1fffff,11,0,0.0,ns,OSU
88674341e7fffff,2,0,0.0,ns,OSU
88674341e9fffff,2,0,0.0,ns,OSU
88674341edfffff,4,0,0.0,ns,OSU
8867434511fffff,5,0,0.0,ns,OSU
8867434513fffff,266,28,0.0,ns,OSU
8867434517fffff,109,1,0.0,ns,OSU
8867434527fffff,5,0,0.0,ns,OSU
8867434531fffff,69,0,0.0,ns,OSU
8867434535fffff,14,0,0.0,ns,OSU
8867434539fffff,7,0,0.0,ns,OSU
886743453bfffff,193,1,0.0,ns,OSU
88674345e9fffff,8,0,0.0,ns,OSU
88674345edfffff,4,0,0.0,ns,OSU
8867434891fffff,2,0,0.0,ns,OSU
8867434893fffff,286,0,0.0,ns,OSU
8867434895fffff,13,0,0.0,ns,OSU
886743489bfffff,3,0,0.0,ns,OSU
886743489dfffff,5,0,0.0,ns,OSU
88674348b1fffff,245,0,0.0,ns,OSU
88674348b3fffff,3,0,0.0,ns,OSU
88674348b5fffff,74,0,0.0,ns,OSU
88674348b7fffff,73,0,0.0,ns,OSU
88674348b9fffff,43,0,0.0,ns,OSU
88674348bbfffff,4,0,0.0,ns,OSU
8867434a43fffff,6,0,0.0,ns,OSU
8867434a45fffff,68,0,0.0,ns,OSU
8867434a47fffff,2,0,0.0,ns,OSU
8867434a63fffff,254,0,0.0,ns,OSU
8867434a6bfffff,98,0,0.0,ns,OSU
8867434ac9fffff,4,0,0.0,ns,OSU
8867434c09fffff,41,4,0.0,ns,OSU
8867434c41fffff,9,2,0.0,ns,OSU
8867434c43fffff,113,0,0.0,ns,OSU
8867434c45fffff,6,0,0.0,ns,OSU
8867434c47fffff,99,3,0.0,ns,OSU
8867434c4bfffff,80,0,0.0,ns,OSU
8867434c4dfffff,7,0,0.0,ns,OSU
8867434c5dfffff,68,0,0.0,ns,OSU
8867434c61fffff,58,0,0.0,ns,OSU
8867434c63fffff,4,0,0.0,ns,OSU
8867434c69fffff,3,0,0.0,ns,OSU
