h3,base,pdmg,cems,lisa,product
88674ec18bfffff,18,9,0.0,ns,UH
88674ec191fffff,366,10,0.0,ns,UH
88674ec193fffff,74,20,0.0,ns,UH
88674ec195fffff,1558,61,0.0,ns,UH
88674ec197fffff,231,110,0.0,ns,UH
88674ec199fffff,6,0,0.0,ns,UH
88674ec19bfffff,89,0,0.0,ns,UH
88674ec19dfffff,158,0,0.0,ns,UH
88674ec1a3fffff,131,66,0.0,ns,UH
88674ec1a7fffff,987,354,0.0,ns,UH
88674ec1a9fffff,51,27,0.0,ns,UH
88674ec1abfffff,103,30,0.0,ns,UH
88674ec1adfffff,998,88,0.0,ns,UH
88674ec1b1fffff,899,286,0.0,ns,UH
88674ec1b3fffff,283,113,0.0,ns,UH
88674ec1b5fffff,173,105,0.0,ns,UH
88674ec1b7fffff,6,6,0.0,ns,UH
88674ec1b9fffff,1226,21,0.0,ns,UH
88674ec1bbfffff,1881,329,0.0,ns,UH
88674ec1bdfffff,17,4,0.0,ns,UH
88674ec1c1fffff,28,3,0.0,ns,UH
88674ec1c3fffff,336,101,0.0,ns,UH
88674ec1c5fffff,260,8,0.0,ns,UH
88674ec1c7fffff,22,2,0.0,ns,UH
88674ec1cbfffff,8,8,0.0,ns,UH
88674ec1d1fffff,37,6,0.0,ns,UH
88674ec1d3fffff,8,3,0.0,ns,UH
88674ec1d5fffff,17,17,0.0,ns,UH
88674ec1d7fffff,2,2,0.0,ns,UH
88674ec1d9fffff,189,84,0.0,HH,UH
88674ec1dbfffff,168,81,0.0,ns,UH
88674ec1ddfffff,11,7,0.0,ns,UH
88674ec1e1fffff,1184,129,0.0,ns,UH
88674ec1e3fffff,14,2,0.0,ns,UH
88674ec1e5fffff,1679,198,0.0,ns,UH
88674ec1e7fffff,2506,687,0.0,ns,UH
88674ec1e9fffff,796,42,0.0,ns,UH
88674ec1ebfffff,163,33,0.0,ns,UH
88674ec1edfffff,1084,119,0.0,ns,UH
88674ec2a5fffff,164,0,0.0,ns,UH
88674ec8c1fffff,4,0,0.0,ns,UH
88674ec8c3fffff,20,7,0.0,ns,UH
88674ec8c9fffff,8,0,0.0,ns,UH
88674ec8cbfffff,137,2,0.0,ns,UH
88674ec8cdfffff,73,40,0.0,ns,UH
88674ec8d1fffff,47,19,0.0,ns,UH
88674ec8d5fffff,4,0,0.0,ns,UH
88674ec8d9fffff,1036,622,0.0,ns,UH
88674ec8dbfffff,1400,180,0.0,LH,UH
88674ec8ddfffff,195,21,0.0,ns,UH
88674eca11fffff,596,87,0.0,ns,UH
88674eca13fffff,2506,53,0.0,ns,UH
88674eca17fffff,1059,96,0.0,LL,UH
88674eca1bfffff,138,25,0.0,ns,UH
88674eca81fffff,1335,901,0.0,HH,UH
88674eca83fffff,1,1,0.0,HH,UH
88674eca85fffff,710,510,0.0,HH,UH
88674eca87fffff,51,25,0.0,HH,UH
88674eca89fffff,2217,814,0.0,HH,UH
88674eca8bfffff,1741,307,0.0,LH,UH
88674eca8dfffff,2279,945,0.0,HH,UH
88674eca91fffff,1,0,0.0,ns,UH
88674eca93fffff,452,110,0.0,ns,UH
88674eca97fffff,191,1,0.0,ns,UH
88674eca9bfffff,127,7,0.0,ns,UH
88674ecaa3fffff,6,4,0.0,ns,UH
88674ecaa9fffff,14,9,0.0,ns,UH
88674ecaabfffff,27,20,0.0,ns,UH
88674ecab1fffff,532,298,0.0,ns,UH
88674ecab3fffff,793,363,0.0,HH,UH
88674ecab5fffff,122,1,0.0,ns,UH
88674ecab7fffff,1180,294,0.0,ns,UH
88674ecabbfffff,146,1,0.0,LH,UH
88674ecabdfffff,22,10,0.0,ns,UH
88674ecac1fffff,1313,234,0.0,ns,UH
88674ecac3fffff,1902,1213,0.0,HH,UH
88674ecac5fffff,2164,57,0.0,ns,UH
88674ecac7fffff,2161,875,0.0,ns,UH
88674ecac9fffff,289,64,0.0,ns,UH
88674ecacbfffff,934,209,0.0,HH,UH
88674ecacdfffff,379,14,0.0,ns,UH
88674ecad1fffff,2342,568,0.0,HH,UH
88674ecad3fffff,7,1,0.0,ns,UH
88674ecad5fffff,2242,1507,0.0,HH,UH
88674ecad7fffff,760,34,0.0,LH,UH
88674ecad9fffff,2100,567,0.0,HH,UH
88674ecadbfffff,1846,87,0.0,ns,UH
88674ecaddfffff,2430,2207,0.0,HH,UH
88674ecae1fffff,1461,114,0.0,LL,UH
88674ecae3fffff,1212,30,0.0,ns,UH
88674ecae7fffff,14,0,0.0,ns,UH
88674ecae9fffff,1993,81,0.0,LL,UH
88674ecaebfffff,2076,176,0.0,ns,UH
88674ecaedfffff,652,8,0.0,ns,UH
88674ecc49fffff,15,4,0.0,ns,UH
88674ecc4dfffff,2,0,0.0,ns,UH
88674ece01fffff,107,1,0.0,ns,UH
88674ece05fffff,91,30,0.0,ns,UH
88674ece09fffff,201,96,0.0,ns,UH
88674ece0bfffff,24,8,0.0,ns,UH
88674ece0dfffff,244,6,0.0,ns,UH
88674ece21fffff,57,17,0.0,ns,UH
88674ece25fffff,226,140,0.0,ns,UH
88674ece27fffff,14,1,0.0,ns,UH
88674ece29fffff,189,129,0.0,ns,UH
88674ece2bfffff,4,4,0.0,ns,UH
88674ece2dfffff,102,43,0.0,ns,UH
88674ece41fffff,132,5,0.0,ns,UH
88674ece43fffff,1287,696,0.0,ns,UH
88674ece45fffff,7,0,0.0,ns,UH
88674ece47fffff,255,4,0.0,ns,UH
88674ece49fffff,327,267,0.0,ns,UH
88674ece4bfffff,443,51,0.0,ns,UH
88674ece4dfffff,114,40,0.0,ns,UH
88674ece51fffff,24,0,0.0,ns,UH
88674ece55fffff,1474,298,0.0,ns,UH
88674ece57fffff,107,0,0.0,ns,UH
88674ece5dfffff,598,0,0.0,ns,UH
88674ece61fffff,332,25,0.0,ns,UH
88674ece63fffff,239,17,0.0,ns,UH
88674ece65fffff,502,12,0.0,ns,UH
88674ece67fffff,210,66,0.0,ns,UH
88674ece69fffff,253,19,0.0,ns,UH
88674ece6bfffff,1172,4,0.0,ns,UH
88674ece6dfffff,412,60,0.0,ns,UH
88674ecf03fffff,2,0,0.0,ns,UH
88674ecf05fffff,281,44,0.0,ns,UH
88674ecf0dfffff,413,5,0.0,ns,UH
88674ecf11fffff,33,3,0.0,ns,UH
88674ecf13fffff,1,0,0.0,ns,UH
88674ecf19fffff,215,32,0.0,ns,UH
88674ecf1bfffff,85,26,0.0,ns,UH
88674ecf1dfffff,72,30,0.0,ns,UH
88674ecf29fffff,369,205,0.0,ns,UH
88674ecf2dfffff,9,2,0.0,ns,UH
88674ecf41fffff,2085,504,0.0,ns,UH
88674ecf43fffff,557,130,0.0,ns,UH
88674ecf45fffff,1913,379,0.0,ns,UH
88674ecf47fffff,826,139,0.0,ns,UH
88674ecf49fffff,488,228,0.0,ns,UH
88674ecf4bfffff,39,16,0.0,ns,UH
88674ecf4dfffff,1927,135,0.0,ns,UH
88674ecf51fffff,1,0,0.0,ns,UH
88674ecf53fffff,62,18,0.0,ns,UH
88674ecf57fffff,27,10,0.0,ns,UH
88674ecf59fffff,98,28,0.0,ns,UH
88674ecf5bfffff,95,19,0.0,ns,UH
88674ecf5dfffff,1,1,0.0,ns,UH
88674ecf61fffff,2007,663,0.0,ns,UH
88674ecf63fffff,1581,231,0.0,ns,UH
88674ecf65fffff,2265,675,0.0,HH,UH
88674ecf67fffff,2060,948,0.0,ns,UH
88674ecf69fffff,1087,233,0.0,ns,UH
88674ecf6bfffff,1193,310,0.0,ns,UH
88674ecf6dfffff,766,375,0.0,ns,UH
