region,lens,radius,predictor,metric,value,source
Caraballeda,cells,8,Microsoft,rho_null,0.56,pipeline/ranking.py
Caraballeda,cells,8,Microsoft,delta,-0.086,pipeline/ranking.py
Caraballeda,cells,8,Microsoft,top20,0.35,pipeline/ranking.py
Caraballeda,cells,8,Microsoft,top20_null,0.45,pipeline/ranking.py
Caraballeda,cells,8,Microsoft,cells,112.0,pipeline/ranking.py
Caraballeda,cells,9,IMPACT v2,rho,0.285,pipeline/ranking.py
Caraballeda,cells,9,IMPACT v2,rho_null,0.25,pipeline/ranking.py
Caraballeda,cells,9,IMPACT v2,delta,0.035,pipeline/ranking.py
Caraballeda,cells,9,IMPACT v2,top20,0.2,pipeline/ranking.py
Caraballeda,cells,9,IMPACT v2,top20_null,0.0,pipeline/ranking.py
Caraballeda,cells,9,IMPACT v2,cells,376.0,pipeline/ranking.py
Caraballeda,cells,8,IMPACT v2,rho,0.548,pipeline/ranking.py
Caraballeda,cells,8,IMPACT v2,rho_null,0.446,pipeline/ranking.py
Caraballeda,cells,8,IMPACT v2,delta,0.102,pipeline/ranking.py
Caraballeda,cells,8,IMPACT v2,top20,0.45,pipeline/ranking.py
Caraballeda,cells,8,IMPACT v2,top20_null,0.4,pipeline/ranking.py
Caraballeda,cells,8,IMPACT v2,cells,110.0,pipeline/ranking.py
Caraballeda,cells,9,OSU,rho,0.385,pipeline/ranking.py
Caraballeda,cells,9,OSU,rho_null,0.351,pipeline/ranking.py
Caraballeda,cells,9,OSU,delta,0.034,pipeline/ranking.py
Caraballeda,cells,9,OSU,top20,0.1,pipeline/ranking.py
Caraballeda,cells,9,OSU,top20_null,0.0,pipeline/ranking.py
Caraballeda,cells,9,OSU,cells,483.0,pipeline/ranking.py
Caraballeda,cells,8,OSU,rho,0.642,pipeline/ranking.py
Caraballeda,cells,8,OSU,rho_null,0.557,pipeline/ranking.py
Caraballeda,cells,8,OSU,delta,0.085,pipeline/ranking.py
Caraballeda,cells,8,OSU,top20,0.45,pipeline/ranking.py
Caraballeda,cells,8,OSU,top20_null,0.4,pipeline/ranking.py
Caraballeda,cells,8,OSU,cells,134.0,pipeline/ranking.py
Caraballeda,cells,9,UH,rho,0.128,pipeline/ranking.py
Caraballeda,cells,9,UH,rho_null,0.414,pipeline/ranking.py
Caraballeda,cells,9,UH,delta,-0.286,pipeline/ranking.py
Caraballeda,cells,9,UH,top20,0.05,pipeline/ranking.py
Caraballeda,cells,9,UH,top20_null,0.0,pipeline/ranking.py
Caraballeda,cells,9,UH,cells,450.0,pipeline/ranking.py
Caraballeda,cells,8,UH,rho,0.384,pipeline/ranking.py
Caraballeda,cells,8,UH,rho_null,0.591,pipeline/ranking.py
Caraballeda,cells,8,UH,delta,-0.207,pipeline/ranking.py
Caraballeda,cells,8,UH,top20,0.4,pipeline/ranking.py
Caraballeda,cells,8,UH,top20_null,0.45,pipeline/ranking.py
Caraballeda,cells,8,UH,cells,119.0,pipeline/ranking.py
Caraballeda,cells,9,LIST,rho,0.465,pipeline/ranking.py
Caraballeda,cells,9,LIST,rho_null,0.335,pipeline/ranking.py
Caraballeda,cells,9,LIST,delta,0.131,pipeline/ranking.py
Caraballeda,cells,9,LIST,top20,0.2,pipeline/ranking.py
Caraballeda,cells,9,LIST,top20_null,0.0,pipeline/ranking.py
Caraballeda,cells,9,LIST,cells,485.0,pipeline/ranking.py
Caraballeda,cells,8,LIST,rho,0.668,pipeline/ranking.py
Caraballeda,cells,8,LIST,rho_null,0.539,pipeline/ranking.py
Caraballeda,cells,8,LIST,delta,0.13,pipeline/ranking.py
Caraballeda,cells,8,LIST,top20,0.65,pipeline/ranking.py
Caraballeda,cells,8,LIST,top20_null,0.4,pipeline/ranking.py
Caraballeda,cells,8,LIST,cells,133.0,pipeline/ranking.py
Caraballeda,cells,9,UNEP,rho,0.212,pipeline/ranking.py
Caraballeda,cells,9,UNEP,rho_null,0.318,pipeline/ranking.py
Caraballeda,cells,9,UNEP,delta,-0.106,pipeline/ranking.py
Caraballeda,cells,9,UNEP,top20,0.1,pipeline/ranking.py
Caraballeda,cells,9,UNEP,top20_null,0.0,pipeline/ranking.py
Caraballeda,cells,9,UNEP,cells,415.0,pipeline/ranking.py
Caraballeda,cells,8,UNEP,rho,0.463,pipeline/ranking.py
Caraballeda,cells,8,UNEP,rho_null,0.52,pipeline/ranking.py
Caraballeda,cells,8,UNEP,delta,-0.058,pipeline/ranking.py
Caraballeda,cells,8,UNEP,top20,0.4,pipeline/ranking.py
Caraballeda,cells,8,UNEP,top20_null,0.4,pipeline/ranking.py
Caraballeda,cells,8,UNEP,cells,123.0,pipeline/ranking.py
core,cells-agreement,9,Microsoft,rho,0.481,pipeline/ranking.py
core,cells-agreement,9,Microsoft,top20,0.15,pipeline/ranking.py
core,cells-agreement,9,Microsoft,top20_exp,0.15,pipeline/ranking.py
core,cells-agreement,9,Microsoft,rho_frac,0.398,pipeline/ranking.py
core,cells-agreement,9,Microsoft,cells,594.0,pipeline/ranking.py
core,cells-agreement,9,Microsoft,cells_frac,426.0,pipeline/ranking.py
core,cells-agreement,9,IMPACT v2,rho,0.535,pipeline/ranking.py
core,cells-agreement,9,IMPACT v2,top20,0.2,pipeline/ranking.py
core,cells-agreement,9,IMPACT v2,top20_exp,0.2,pipeline/ranking.py
core,cells-agreement,9,IMPACT v2,rho_frac,0.52,pipeline/ranking.py
core,cells-agreement,9,IMPACT v2,cells,594.0,pipeline/ranking.py
core,cells-agreement,9,IMPACT v2,cells_frac,426.0,pipeline/ranking.py
core,cells-agreement,9,OSU,rho,0.51,pipeline/ranking.py
core,cells-agreement,9,OSU,top20,0.1,pipeline/ranking.py
core,cells-agreement,9,OSU,top20_exp,0.1,pipeline/ranking.py
core,cells-agreement,9,OSU,rho_frac,0.539,pipeline/ranking.py
core,cells-agreement,9,OSU,cells,594.0,pipeline/ranking.py
core,cells-agreement,9,OSU,cells_frac,426.0,pipeline/ranking.py
core,cells-agreement,9,UH,rho,0.303,pipeline/ranking.py
core,cells-agreement,9,UH,top20,0.05,pipeline/ranking.py
core,cells-agreement,9,UH,top20_exp,0.05,pipeline/ranking.py
core,cells-agreement,9,UH,rho_frac,0.208,pipeline/ranking.py
core,cells-agreement,9,UH,cells,594.0,pipeline/ranking.py
core,cells-agreement,9,UH,cells_frac,426.0,pipeline/ranking.py
core,cells-agreement,9,LIST,rho,0.565,pipeline/ranking.py
core,cells-agreement,9,LIST,top20,0.2,pipeline/ranking.py
core,cells-agreement,9,LIST,top20_exp,0.2,pipeline/ranking.py
core,cells-agreement,9,LIST,rho_frac,0.585,pipeline/ranking.py
core,cells-agreement,9,LIST,cells,594.0,pipeline/ranking.py
core,cells-agreement,9,LIST,cells_frac,426.0,pipeline/ranking.py
core,cells-agreement,9,UNEP,rho,0.445,pipeline/ranking.py
core,cells-agreement,9,UNEP,top20,0.1,pipeline/ranking.py
core,cells-agreement,9,UNEP,top20_exp,0.1,pipeline/ranking.py
core,cells-agreement,9,UNEP,rho_frac,0.372,pipeline/ranking.py
core,cells-agreement,9,UNEP,cells,594.0,pipeline/ranking.py
core,cells-agreement,9,UNEP,cells_frac,426.0,pipeline/ranking.py
core,cells-agreement,9,geography null,rho,0.471,pipeline/ranking.py
core,cells-agreement,9,geography null,top20,0.0,pipeline/ranking.py
core,cells-agreement,9,geography null,top20_exp,0.0,pipeline/ranking.py
core,cells-agreement,9,geography null,rho_frac,0.387,pipeline/ranking.py
core,cells-agreement,9,geography null,cells,594.0,pipeline/ranking.py
core,cells-agreement,9,geography null,cells_frac,426.0,pipeline/ranking.py
core,cells-agreement,9,vote sum,rho,0.543,pipeline/ranking.py
core,cells-agreement,9,vote sum,top20,0.2,pipeline/ranking.py
core,cells-agreement,9,vote sum,top20_exp,0.2,pipeline/ranking.py
core,cells-agreement,9,vote sum,rho_frac,0.622,pipeline/ranking.py
core,cells-agreement,9,vote sum,cells,594.0,pipeline/ranking.py
core,cells-agreement,9,vote sum,cells_frac,426.0,pipeline/ranking.py
core,cells-agreement,9,1-of-6,rho,0.457,pipeline/ranking.py
core,cells-agreement,9,1-of-6,top20,0.0,pipeline/ranking.py
core,cells-agreement,9,1-of-6,top20_exp,0.0,pipeline/ranking.py
core,cells-agreement,9,1-of-6,rho_frac,0.553,pipeline/ranking.py
core,cells-agreement,9,1-of-6,cells,594.0,pipeline/ranking.py
core,cells-agreement,9,1-of-6,cells_frac,426.0,pipeline/ranking.py
core,cells-agreement,9,2-of-6,rho,0.571,pipeline/ranking.py
core,cells-agreement,9,2-of-6,top20,0.15,pipeline/ranking.py
core,cells-agreement,9,2-of-6,top20_exp,0.15,pipeline/ranking.py
core,cells-agreement,9,2-of-6,rho_frac,0.617,pipeline/ranking.py
core,cells-agreement,9,2-of-6,cells,594.0,pipeline/ranking.py
core,cells-agreement,9,2-of-6,cells_frac,426.0,pipeline/ranking.py
core,cells-agreement,9,3-of-6,rho,0.623,pipeline/ranking.py
core,cells-agreement,9,3-of-6,top20,0.3,pipeline/ranking.py
core,cells-agreement,9,3-of-6,top20_exp,0.3,pipeline/ranking.py
core,cells-agreement,9,3-of-6,rho_frac,0.628,pipeline/ranking.py
